game_id	game_date	game_serie_id	game_number	game_id_team_home	game_id_team_away	game_name_team_home	game_name_team_away	game_name_pitcher_home	game_name_pitcher_away	game_pitcher_home_ERA	game_pitcher_away_ERA
154	2017-09-04 19:10:00.000	1	20	20	20	Toronto Blue Jays	Boston Red Sox	J. Happ (L)	R. Porcello (R)	4.17000007629395	4.8899998664856
155	2017-09-04 19:10:00.000	1	20	20	20	Washington Nationals	Miami Marlins	M. Scherzer (R)	V. Worley (R)	1.78999996185303	5.34999990463257
156	2017-09-04 19:10:00.000	1	20	20	20	Minnesota Twins	Tampa Bay Rays	J. Berrios (R)	A. Cobb (R)	5.13000011444092	2.49000000953674
157	2017-09-04 19:35:00.000	1	20	20	20	Texas Rangers	Atlanta Braves	M. Perez (L)	J. Teheran (R)	4.88000011444092	6.98000001907349
158	2017-09-04 20:10:00.000	1	20	20	20	Arizona Diamondbacks	Los Angeles Dodgers	R. Ray (L)	K. Maeda (R)	1.47000002861023	3.1800000667572
159	2017-09-05 19:05:00.000	1	20	20	20	New York Yankees	Baltimore Orioles	S. Gray (R)	D. Bundy (R)	3.75999999046326	3.86999988555908
160	2017-09-05 19:05:00.000	1	20	20	20	Chicago Cubs	Pittsburgh Pirates	K. Hendricks (R)	I. Nova (R)	3.46000003814697	2.86999988555908
161	2017-09-05 19:10:00.000	1	20	20	20	Toronto Blue Jays	Boston Red Sox	M. Estrada (R)	E. Rodriguez (L)	5.28000020980835	3.78999996185303
162	2017-09-05 19:10:00.000	1	20	20	20	Kansas City Royals	Detroit Tigers	J. Vargas (L)	A. Sanchez (R)	3.61999988555908	6.51999998092651
163	2017-09-05 19:10:00.000	1	20	20	20	Milwaukee Brewers	Cincinnati Reds	Z. Davies (R)	R. Stephenson (R)	2.32999992370605	5.78999996185303
164	2017-09-05 19:10:00.000	1	20	20	20	Philadelphia Phillies	New York Mets	B. Lively (R)	J. deGrom (R)	3.98000001907349	2.85999989509583
165	2017-09-05 19:10:00.000	1	20	20	20	Washington Nationals	Miami Marlins	G. Gonzalez (L)	A. Conley (L)	2.91000008583069	7.51999998092651
166	2017-09-05 19:10:00.000	1	20	20	20	Minnesota Twins	Tampa Bay Rays	B. Colon (R)	J. Odorizzi (R)	2.95000004768372	5.17999982833862
167	2017-09-05 19:35:00.000	1	20	20	20	Texas Rangers	Atlanta Braves	N. Martinez (R)	S. Newcomb (L)	5.86999988555908	4.42999982833862
168	2017-09-05 20:10:00.000	1	20	20	20	Cleveland Indians	Chicago White Sox	M. Clevinger (R)	M. Gonzalez (R)	2.85999989509583	3.30999994277954
169	2017-09-05 20:40:00.000	1	20	20	20	San Francisco Giants	Colorado Rockies	M. Bumgarner (L)	C. Bettis (R)	2.84999990463257	1.92999994754791
170	2017-09-05 22:05:00.000	1	20	20	20	Los Angeles Angels	Oakland Athletics	P. Bridwell (R)	P. Blackburn (R)	2	5.1399998664856
171	2017-09-05 22:10:00.000	1	20	20	20	Houston Astros	Seattle Mariners	C. McHugh (R)	A. Miranda (L)	5.82000017166138	3.60999989509583
